uri,notation,label_fi,label_sv,label_en
http://www.yso.fi/onto/yso/p17858,,Oulangan kansallispuisto,Oulanka nationalpark,Oulanka National Park
http://www.yso.fi/onto/yso/p17859,,oikeussuhde,rättsförhållande,legal relationship
http://www.yso.fi/onto/yso/p1786,,rakennukset,byggnader,buildings
http://www.yso.fi/onto/yso/p17860,,automaatioasentajat,automationsmontörer,automation mechanics
http://www.yso.fi/onto/yso/p17861,,eläinsadut,djursagor,animal tales
http://www.yso.fi/onto/yso/p17862,,Rapolan linna,Rapola fornborg,Rapola fort
http://www.yso.fi/onto/yso/p17863,,polttohaudat,brandgravar,cremation graves
http://www.yso.fi/onto/yso/p17864,,tietokoneavusteinen säveltäminen,datorstödd komposition,computer-assisted composition
http://www.yso.fi/onto/yso/p17865,,tietokoneavusteinen suunnittelu,datorstödd design,computer-aided design
http://www.yso.fi/onto/yso/p17866,,tietokoneavusteinen valmistus,datorstödd tillverkning,computer-assisted manufacture
http://www.yso.fi/onto/yso/p17867,,tietokoneavusteinen opetus,datorstödd undervisning,computer-assisted teaching
http://www.yso.fi/onto/yso/p17868,,tuuliviirit,vindflöjlar,weather vanes
http://www.yso.fi/onto/yso/p17869,,vastaavuus,motsvarande,correspondence (equivalence)
http://www.yso.fi/onto/yso/p1787,,haaparousku,skogsriska,Lactarius trivialis
http://www.yso.fi/onto/yso/p17870,,Lemmenjoen kansallispuisto,Lemmenjoki nationalpark,Lemmenjoki National Park
http://www.yso.fi/onto/yso/p17871,,wieniläisklassismi,wienklassicism,classical period (music)
http://www.yso.fi/onto/yso/p17872,,haahka,ejder,eider
http://www.yso.fi/onto/yso/p17873,,sukellusveneet,ubåtar,submarines
http://www.yso.fi/onto/yso/p17874,,Lauhanvuoren kansallispuisto,Lauhanvuori nationalpark,Lauhanvuori National Park
http://www.yso.fi/onto/yso/p17875,,läheisriippuvuus,medberoende,codependency
http://www.yso.fi/onto/yso/p17876,,Waenerberg-talo,Waenerberg-talo,Waenerberg house
http://www.yso.fi/onto/yso/p17877,,urdun kieli,urdu,Urdu language
http://www.yso.fi/onto/yso/p17878,,metsämaisema,skogslandskap,forest landscape
http://www.yso.fi/onto/yso/p17879,,metsämestarit,skogsmästare,specialists in forestry
http://www.yso.fi/onto/yso/p1788,,rouskut,riskor,Lactarius
http://www.yso.fi/onto/yso/p17880,,pullot,flaskor,bottles
http://www.yso.fi/onto/yso/p17881,,esikoiskirjailijat,debutförfattare,debut authors
